"actor_id","Participation grade: Formative (not included in final grade)","Assignment 1 Current Score","Assignment 2 Current Score","Assignment 3 Current Score","Participation & engagement Current Score","Assignment Average","Total Average","0.6 Course readings & resources","0.7 [Wikipage] Useful sources on institutional planning","0.9 Effective discussion participation","0.10 UBC grading guidelines","0.5 Course schedule","0.13 Learning analytics","0.3 Evolving thinking about planning for eLearning","0.1 Course overview","0.11 Academic misconduct","0.4 How to succeed in THE COURSE","0.12 Accessibility, equity & diversity, netiquette, & university policies","0.8 Assignments & assessment","0.2 THE COURSE author and pioneer","0.14 Getting Canvas help"
"LEARNER_1","9","79","84","73","90","78.6666666666667","81.5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LEARNER_10","8.5","88","72","74","85","78","79.75","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_11","9","90","79","82","90","83.6666666666667","85.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_12","8","86","87","73","80","82","81.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"LEARNER_13","8","88","86","87","80","87","85.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_14","6","95","92","86","60","91","83.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_15","6","90","79","75","60","81.3333333333333","76","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LEARNER_16","10","88","71","77","100","78.6666666666667","84","1","1","1","1","1","1","1","1","NULL","1","NULL","1","1","NULL"
"LEARNER_17","4","80","65","74","40","73","64.75","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_18","5.5","73","73","74","55","73.3333333333333","68.75","NULL","NULL","1","NULL","1","NULL","1","1","NULL","1","NULL","NULL","1","NULL"
"LEARNER_19","9","90","83","81","90","84.6666666666667","86","NULL","NULL","1","1","1","1","1","1","NULL","1","1","1","1","NULL"
"LEARNER_2","6","93","85","95","60","91","83.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_20","5.5","82","82","59","55","74.3333333333333","69.5","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_21","6.5","71","87","84","65","80.6666666666667","76.75","NULL","NULL","1","NULL","1","NULL","NULL","1","NULL","NULL","NULL","NULL","1","NULL"
"LEARNER_23","10","91","87","83","100","87","90.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_24","8.5","95","90","78","85","87.6666666666667","87","NULL","NULL","NULL","NULL","1","1","1","1","NULL","1","NULL","NULL","1","NULL"
"LEARNER_25","9","93","88","81","90","87.3333333333333","88","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_26","10","90","83","82","100","85","88.75","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_27","5","84","85","69","50","79.3333333333333","72","NULL","1","1","1","1","1","1","1","1","1","NULL","1","1","NULL"
"LEARNER_29","8","89","90","83","80","87.3333333333333","85.5","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_3","9","94","92","82","90","89.3333333333333","89.5","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_30","7","77","89","74","70","80","77.5","NULL","1","1","NULL","1","1","1","1","NULL","1","NULL","1","1","NULL"
"LEARNER_31","7","78","84","77","70","79.6666666666667","77.25","NULL","NULL","1","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL"
"LEARNER_33","4","79","87","74","40","80","70","1","1","1","1","1","1","1","1","1","1","1","1","NULL","NULL"
"LEARNER_34","9","90","78","73","90","80.3333333333333","82.75","NULL","NULL","1","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL"
"LEARNER_35","8","92","72","77","80","80.3333333333333","80.25","1","NULL","NULL","NULL","1","1","NULL","1","NULL","NULL","NULL","1","NULL","NULL"
"LEARNER_36","6","56","84","75","60","71.6666666666667","68.75","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"LEARNER_37","7","94","82","83","70","86.3333333333333","82.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_4","10","88","76","75","100","79.6666666666667","84.75","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_5","10","91","82","84","100","85.6666666666667","89.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_6","10","94","94","84","100","90.6666666666667","93","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_7","10","92","83","80","100","85","88.75","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
"LEARNER_8","8.5","90","88","74","85","84","84.25","1","1","1","1","1","1","1","1","1","1","1","1","1","NULL"
